Account_Number,Customer_ID,Account_Type,Balance
ACC10000098,CUST0049,Checking,65763.58
ACC10000099,CUST0049,Savings,65281.46
ACC10000100,CUST0050,Checking,14713.860000000002
ACC10000101,CUST0050,Savings,47390.97
ACC10000102,CUST0051,Checking,58312.990000000005
ACC10000103,CUST0051,Savings,40176.03
ACC10000104,CUST0052,Checking,49372.270000000004
ACC10000106,CUST0053,Checking,34220.04
ACC10000108,CUST0054,Checking,69399.73000000003
ACC10000109,CUST0054,Savings,62743.33
ACC10000110,CUST0055,Checking,1694.5699999999997
ACC10000112,CUST0056,Checking,85818.95
ACC10000114,CUST0057,Checking,-16658.64
ACC10000115,CUST0057,Savings,32070.84
ACC10000116,CUST0058,Checking,49368.350000000006
ACC10000118,CUST0059,Checking,56198.18
ACC10000119,CUST0059,Savings,76073.23
ACC10000120,CUST0060,Checking,76176.13
ACC10000121,CUST0060,Savings,77903.23
ACC10000122,CUST0061,Checking,38924.83
ACC10000124,CUST0062,Checking,39591.329999999994
ACC10000125,CUST0062,Savings,94027.24
ACC10000126,CUST0063,Checking,44704.05000000001
ACC10000127,CUST0063,Savings,40346.429999999986
ACC10000128,CUST0064,Checking,3869.91
ACC10000130,CUST0065,Checking,78488.66000000002
ACC10000131,CUST0065,Savings,13942.819999999994
ACC10000132,CUST0066,Checking,3942.56
ACC10000133,CUST0066,Savings,37601.60999999999
ACC10000134,CUST0067,Checking,-5092.009999999999
ACC10000135,CUST0067,Savings,74501.81
ACC10000136,CUST0068,Checking,-27416.32999999999
ACC10000137,CUST0068,Savings,20868.339999999997
ACC10000138,CUST0069,Checking,56796.19
ACC10000139,CUST0069,Savings,21587.739999999998
ACC10000140,CUST0070,Checking,37528.10000000001
ACC10000142,CUST0071,Checking,2587.8400000000006
ACC10000144,CUST0072,Checking,2684.52
ACC10000146,CUST0073,Checking,52982.47000000001
ACC10000147,CUST0073,Savings,66459.12
ACC10000148,CUST0074,Checking,5010.93
ACC10000150,CUST0075,Checking,8723.899999999998
ACC10000151,CUST0075,Savings,8512.960000000003
ACC10000152,CUST0076,Checking,83339.38999999997
ACC10000153,CUST0076,Savings,73690.81
ACC10000154,CUST0077,Checking,73399.38
ACC10000155,CUST0077,Savings,67564.62000000001
ACC10000156,CUST0078,Checking,1020.7200000000001
ACC10000157,CUST0078,Savings,1985.8000000000004
ACC10000158,CUST0079,Checking,48475.67000000001
ACC10000159,CUST0079,Savings,33346.94000000001
ACC10000160,CUST0080,Checking,4274.299999999999
ACC10000161,CUST0080,Savings,1280.2500000000002
ACC10000162,CUST0081,Checking,41163.67999999999
ACC10000163,CUST0081,Savings,63294.39000000001
ACC10000164,CUST0082,Checking,4754.33
ACC10000166,CUST0083,Checking,-4971.339999999998
ACC10000167,CUST0083,Savings,82705.67000000001
ACC10000168,CUST0084,Checking,10595.07
ACC10000169,CUST0084,Savings,72822.67
ACC10000170,CUST0085,Checking,38957.78999999999
ACC10000171,CUST0085,Savings,86739.9
ACC10000172,CUST0086,Checking,1850.01
ACC10000174,CUST0087,Checking,66823.77000000002
ACC10000176,CUST0088,Checking,55082.810000000005
ACC10000177,CUST0088,Savings,50388.56999999999
ACC10000178,CUST0089,Checking,-7651.039999999998
ACC10000179,CUST0089,Savings,26789.540000000008
ACC10000180,CUST0090,Checking,69591.65
ACC10000181,CUST0090,Savings,39825.4
ACC10000182,CUST0091,Checking,48739.85000000001
ACC10000183,CUST0091,Savings,10606.389999999998
ACC10000184,CUST0092,Checking,-14435.759999999997
ACC10000185,CUST0092,Savings,23939.18
ACC10000186,CUST0093,Checking,-6921.509999999999
ACC10000187,CUST0093,Savings,31941.879999999997
ACC10000188,CUST0094,Checking,45095.99
ACC10000189,CUST0094,Savings,14530.25
ACC10000190,CUST0095,Checking,1514.9899999999998
ACC10000192,CUST0096,Checking,-3921.02
ACC10000193,CUST0096,Savings,49362.69000000001
ACC10000194,CUST0097,Checking,58114.72
ACC10000195,CUST0097,Savings,56302.92000000001
ACC10000196,CUST0098,Checking,2530.7400000000002
ACC10000198,CUST0099,Checking,63124.240000000005
ACC10000199,CUST0099,Savings,93815.88
ACC10000200,CUST0100,Checking,41609.490000000005
ACC10000201,CUST0100,Savings,7568.9400000000005
ACC10000202,CUST0101,Checking,-18936.409999999996
ACC10000203,CUST0101,Savings,69861.54999999997
ACC10000204,CUST0102,Checking,5999.339999999998
ACC10000205,CUST0102,Savings,66762.45000000003
ACC10000206,CUST0103,Checking,53187.77
ACC10000208,CUST0104,Checking,2039.4599999999998
ACC10000210,CUST0105,Checking,4149.880000000003
ACC10000211,CUST0105,Savings,60492.70999999999
ACC10000212,CUST0106,Checking,-12438.749999999995
ACC10000214,CUST0107,Checking,9199.07
ACC10000215,CUST0107,Savings,20243.070000000003
ACC10000216,CUST0108,Checking,14557.119999999999
ACC10000217,CUST0108,Savings,77990.74999999999
ACC10000218,CUST0109,Checking,59288.30000000001
ACC10000220,CUST0110,Checking,60485.02999999999
ACC10000221,CUST0110,Savings,46936.21000000001
ACC10000222,CUST0111,Checking,31434.04
ACC10000224,CUST0112,Checking,53219.01999999999
ACC10000225,CUST0112,Savings,48692.490000000005
ACC10000226,CUST0113,Checking,64401.64
ACC10000227,CUST0113,Savings,70381.78000000001
ACC10000228,CUST0114,Checking,-14710.300000000003
ACC10000229,CUST0114,Savings,7263.9299999999985
ACC10000230,CUST0115,Checking,-5056.5499999999965
ACC10000231,CUST0115,Savings,46656.65000000001
ACC10000232,CUST0116,Checking,1898.5700000000022
ACC10000233,CUST0116,Savings,20103.58
ACC10000234,CUST0117,Checking,3799.88
ACC10000236,CUST0118,Checking,3055.5800000000004
ACC10000238,CUST0119,Checking,2668.8600000000006
ACC10000240,CUST0120,Checking,72987.54000000001
ACC10000242,CUST0121,Checking,59851.54
ACC10000243,CUST0121,Savings,65823.89000000004
ACC10000244,CUST0122,Checking,29456.0
ACC10000246,CUST0123,Checking,70373.98999999999
ACC10000247,CUST0123,Savings,83415.84999999999
ACC10000248,CUST0124,Checking,1733.53
ACC10000250,CUST0125,Checking,2048.7
ACC10000252,CUST0126,Checking,2175.7599999999998
ACC10000254,CUST0127,Checking,5291.830000000004
ACC10000255,CUST0127,Savings,67676.41999999998
ACC10000256,CUST0128,Checking,-14239.870000000006
ACC10000257,CUST0128,Savings,28070.449999999997
ACC10000258,CUST0129,Checking,61986.99999999999
ACC10000259,CUST0129,Savings,17877.690000000002
ACC10000260,CUST0130,Checking,-19063.3
ACC10000261,CUST0130,Savings,24347.100000000002
ACC10000262,CUST0131,Checking,32064.670000000002
ACC10000263,CUST0131,Savings,28849.790000000005
ACC10000264,CUST0132,Checking,70950.12
ACC10000265,CUST0132,Savings,93332.23999999998
ACC10000266,CUST0133,Checking,4456.950000000001
ACC10000268,CUST0134,Checking,71972.7
ACC10000269,CUST0134,Savings,95031.84000000001
ACC10000270,CUST0135,Checking,41230.23
ACC10000271,CUST0135,Savings,79626.48999999998
ACC10000272,CUST0136,Checking,-5663.69
ACC10000273,CUST0136,Savings,19697.96
ACC10000274,CUST0137,Checking,-12881.65
ACC10000275,CUST0137,Savings,58131.05000000001
ACC10000276,CUST0138,Checking,8943.099999999999
ACC10000277,CUST0138,Savings,15857.98
ACC10000278,CUST0139,Checking,4456.21
ACC10000280,CUST0140,Checking,4019.5799999999995
ACC10000281,CUST0140,Savings,9267.98
ACC10000282,CUST0141,Checking,-9798.530000000002
ACC10000283,CUST0141,Savings,30106.529999999995
ACC10000284,CUST0142,Checking,-2794.7099999999964
ACC10000286,CUST0143,Checking,30066.820000000007
ACC10000287,CUST0143,Savings,7807.260000000001
ACC10000288,CUST0144,Checking,-9790.829999999998
ACC10000290,CUST0145,Checking,61293.71
ACC10000291,CUST0145,Savings,94301.89000000001
ACC10000292,CUST0146,Checking,80622.3
ACC10000293,CUST0146,Savings,81809.66999999998
ACC10000294,CUST0147,Checking,24586.030000000006
ACC10000295,CUST0147,Savings,24451.04
ACC10000296,CUST0148,Checking,20403.43
ACC10000297,CUST0148,Savings,94364.24000000002
ACC10000298,CUST0149,Checking,-12458.06
ACC10000299,CUST0149,Savings,93340.23999999999
ACC10000300,CUST0150,Checking,3223.13
ACC10000302,CUST0151,Checking,1404.32
ACC10000304,CUST0152,Checking,2642.4500000000007
ACC10000305,CUST0152,Savings,895.2299999999999
ACC10000306,CUST0153,Checking,42694.840000000004
ACC10000307,CUST0153,Savings,51974.000000000015
ACC10000308,CUST0154,Checking,55327.16999999998
ACC10000309,CUST0154,Savings,52866.6
ACC10000310,CUST0155,Checking,54074.75
ACC10000311,CUST0155,Savings,42053.29000000001
ACC10000312,CUST0156,Checking,-8039.229999999998
ACC10000313,CUST0156,Savings,56602.509999999995
ACC10000314,CUST0157,Checking,-11901.239999999998
ACC10000315,CUST0157,Savings,27191.460000000003
ACC10000316,CUST0158,Checking,74046.68
ACC10000317,CUST0158,Savings,73200.75000000001
ACC10000318,CUST0159,Checking,24242.93
ACC10000320,CUST0160,Checking,73082.42
ACC10000321,CUST0160,Savings,13353.48
ACC10000322,CUST0161,Checking,1920.85
ACC10000324,CUST0162,Checking,72396.49
ACC10000325,CUST0162,Savings,84507.76000000001
ACC10000326,CUST0163,Checking,-6829.09
ACC10000327,CUST0163,Savings,22962.109999999997
ACC10000328,CUST0164,Checking,3334.8400000000006
ACC10000330,CUST0165,Checking,4352.58
ACC10000332,CUST0166,Checking,71048.1
ACC10000333,CUST0166,Savings,16753.729999999996
ACC10000334,CUST0167,Checking,63955.47
ACC10000335,CUST0167,Savings,38317.29999999999
ACC10000336,CUST0168,Checking,93196.26999999999
ACC10000337,CUST0168,Savings,7026.740000000001
ACC10000338,CUST0169,Checking,2269.6199999999994
ACC10000340,CUST0170,Checking,-12575.259999999998
ACC10000341,CUST0170,Savings,13041.500000000002
ACC10000342,CUST0171,Checking,-12124.43
ACC10000343,CUST0171,Savings,19437.259999999995
ACC10000344,CUST0172,Checking,47974.100000000006
ACC10000345,CUST0172,Savings,26920.85000000001
ACC10000346,CUST0173,Checking,-12300.849999999999
ACC10000347,CUST0173,Savings,16980.85999999999
ACC10000348,CUST0174,Checking,57994.48000000001
ACC10000349,CUST0174,Savings,5606.500000000001
ACC10000350,CUST0175,Checking,57854.67
ACC10000351,CUST0175,Savings,96034.55
ACC10000352,CUST0176,Checking,145.01000000000005
ACC10000354,CUST0177,Checking,59181.509999999995
ACC10000355,CUST0177,Savings,24741.35
ACC10000356,CUST0178,Checking,82164.61
ACC10000357,CUST0178,Savings,73583.43
ACC10000358,CUST0179,Checking,50383.65999999998
ACC10000359,CUST0179,Savings,17732.48
ACC10000360,CUST0180,Checking,106935.11
ACC10000361,CUST0180,Savings,55584.28999999998
ACC10000362,CUST0181,Checking,836.1600000000001
ACC10000363,CUST0181,Savings,4711.630000000001
ACC10000364,CUST0182,Checking,33329.49
ACC10000365,CUST0182,Savings,6280.139999999998
ACC10000366,CUST0183,Checking,-13390.15
ACC10000367,CUST0183,Savings,87740.73999999999
ACC10000368,CUST0184,Checking,723.26
ACC10000369,CUST0184,Savings,16766.52
ACC10000370,CUST0185,Checking,4718.76
ACC10000371,CUST0185,Savings,6273.85
ACC10000372,CUST0186,Checking,5799.970000000002
ACC10000373,CUST0186,Savings,37397.89000000001
ACC10000374,CUST0187,Checking,4129.02
ACC10000376,CUST0188,Checking,51341.29000000001
ACC10000377,CUST0188,Savings,63580.21000000001
ACC10000378,CUST0189,Checking,49943.0
ACC10000379,CUST0189,Savings,61446.98000000002
ACC10000380,CUST0190,Checking,18498.629999999997
ACC10000381,CUST0190,Savings,75145.74000000002
ACC10000382,CUST0191,Checking,-10918.61
ACC10000383,CUST0191,Savings,26772.500000000007
ACC10000384,CUST0192,Checking,69693.15999999999
ACC10000385,CUST0192,Savings,76743.44000000002
ACC10000386,CUST0193,Checking,-7014.069999999999
ACC10000387,CUST0193,Savings,573.3799999999954
ACC10000388,CUST0194,Checking,-15600.01
ACC10000389,CUST0194,Savings,22018.729999999996
ACC10000390,CUST0195,Checking,1470.5099999999998
ACC10000392,CUST0196,Checking,-2907.039999999998
ACC10000393,CUST0196,Savings,33590.46999999997
ACC10000394,CUST0197,Checking,4413.2699999999995
ACC10000395,CUST0197,Savings,5040.72
ACC10000396,CUST0198,Checking,-8069.289999999999
ACC10000397,CUST0198,Savings,72205.41999999997
ACC10000398,CUST0199,Checking,4725.639999999999
ACC10000400,CUST0200,Checking,33060.59
ACC10000401,CUST0200,Savings,95906.77000000003
ACC10000402,CUST0201,Checking,71413.23
ACC10000403,CUST0201,Savings,75880.45000000001
ACC10000404,CUST0202,Checking,1679.499999999996
ACC10000405,CUST0202,Savings,70724.00000000001
ACC10000406,CUST0203,Checking,-7699.35
ACC10000408,CUST0204,Checking,69377.23000000001
ACC10000409,CUST0204,Savings,25669.259999999995
ACC10000410,CUST0205,Checking,29389.309999999998
ACC10000411,CUST0205,Savings,51119.320000000014
ACC10000412,CUST0206,Checking,36345.42
ACC10000413,CUST0206,Savings,43206.76999999998
ACC10000414,CUST0207,Checking,54156.95
ACC10000415,CUST0207,Savings,48540.560000000005
ACC10000416,CUST0208,Checking,60903.94000000001
ACC10000417,CUST0208,Savings,32106.38000000002
ACC10000418,CUST0209,Checking,2470.82
ACC10000420,CUST0210,Checking,126068.31999999999
ACC10000422,CUST0211,Checking,-3325.750000000002
ACC10000424,CUST0212,Checking,70003.89
ACC10000425,CUST0212,Savings,6398.700000000003
ACC10000426,CUST0213,Checking,-7160.159999999999
ACC10000427,CUST0213,Savings,21240.879999999997
ACC10000428,CUST0214,Checking,1484.4599999999998
ACC10000430,CUST0215,Checking,1673.8700000000001
ACC10000431,CUST0215,Savings,6956.429999999999
ACC10000432,CUST0216,Checking,561.02
ACC10000434,CUST0217,Checking,46301.1
ACC10000435,CUST0217,Savings,36754.19000000001
ACC10000436,CUST0218,Checking,-15055.32
ACC10000437,CUST0218,Savings,86917.14000000001
ACC10000438,CUST0219,Checking,-23377.829999999994
ACC10000439,CUST0219,Savings,30388.270000000015
ACC10000440,CUST0220,Checking,6776.480000000001
ACC10000441,CUST0220,Savings,45531.68
ACC10000442,CUST0221,Checking,1765.5500000000006
ACC10000444,CUST0222,Checking,-15768.72
ACC10000445,CUST0222,Savings,55325.55999999999
ACC10000446,CUST0223,Checking,66224.83000000002
ACC10000447,CUST0223,Savings,72191.53
ACC10000448,CUST0224,Checking,3200.53
ACC10000449,CUST0224,Savings,47116.92
ACC10000450,CUST0225,Checking,56215.31999999999
ACC10000451,CUST0225,Savings,86805.86
ACC10000452,CUST0226,Checking,-1931.7100000000003
ACC10000453,CUST0226,Savings,25582.990000000005
ACC10000454,CUST0227,Checking,1221.91
ACC10000456,CUST0228,Checking,32877.16000000001
ACC10000458,CUST0229,Checking,49335.39000000001
ACC10000459,CUST0229,Savings,52911.62999999999
ACC10000460,CUST0230,Checking,70010.07999999999
ACC10000461,CUST0230,Savings,64677.39
ACC10000462,CUST0231,Checking,2387.13
ACC10000464,CUST0232,Checking,52409.33000000001
ACC10000465,CUST0232,Savings,35777.26000000001
ACC10000466,CUST0233,Checking,56535.01
ACC10000467,CUST0233,Savings,53061.71000000001
ACC10000468,CUST0234,Checking,40454.25
ACC10000469,CUST0234,Savings,85668.19999999998
ACC10000470,CUST0235,Checking,699.04
ACC10000472,CUST0236,Checking,-5618.109999999999
ACC10000473,CUST0236,Savings,87428.0
ACC10000474,CUST0237,Checking,12458.960000000001
ACC10000475,CUST0237,Savings,8277.13
ACC10000476,CUST0238,Checking,63669.44
ACC10000477,CUST0238,Savings,71828.06000000004
ACC10000478,CUST0239,Checking,40573.58
ACC10000479,CUST0239,Savings,26439.600000000002
ACC10000480,CUST0240,Checking,64845.21000000001
ACC10000482,CUST0241,Checking,9097.65
ACC10000484,CUST0242,Checking,4430.030000000001
ACC10000486,CUST0243,Checking,61337.76999999998
ACC10000488,CUST0244,Checking,68701.43
ACC10000490,CUST0245,Checking,43886.82999999998
ACC10000491,CUST0245,Savings,85322.73000000001
ACC10000492,CUST0246,Checking,38546.25000000001
ACC10000493,CUST0246,Savings,34715.83
ACC10000494,CUST0247,Checking,47295.86000000001
ACC10000495,CUST0247,Savings,57732.14999999999
ACC10000496,CUST0248,Checking,39587.619999999995
ACC10000497,CUST0248,Savings,16565.089999999997
ACC10000498,CUST0249,Checking,82983.75
ACC10000499,CUST0249,Savings,77459.81000000003
ACC10000500,CUST0250,Checking,-16997.28
ACC10000502,CUST0251,Checking,6001.21
ACC10000503,CUST0251,Savings,48687.57
ACC10000504,CUST0252,Checking,76367.97
ACC10000505,CUST0252,Savings,89418.12999999999
ACC10000506,CUST0253,Checking,106032.63999999998
ACC10000507,CUST0253,Savings,72218.62000000002
ACC10000508,CUST0254,Checking,74268.19000000003
ACC10000509,CUST0254,Savings,68157.63
ACC10000510,CUST0255,Checking,21575.540000000005
ACC10000511,CUST0255,Savings,41077.75999999999
ACC10000512,CUST0256,Checking,53230.25999999999
ACC10000513,CUST0256,Savings,3193.4200000000005
ACC10000514,CUST0257,Checking,83337.40000000001
ACC10000515,CUST0257,Savings,14391.619999999994
ACC10000516,CUST0258,Checking,220.4000000000016
ACC10000517,CUST0258,Savings,19848.19000000001
ACC10000518,CUST0259,Checking,2502.94
ACC10000519,CUST0259,Savings,68830.48000000001
ACC10000520,CUST0260,Checking,72542.73
ACC10000521,CUST0260,Savings,50763.17
ACC10000522,CUST0261,Checking,40909.31
ACC10000523,CUST0261,Savings,90678.12999999999
ACC10000524,CUST0262,Checking,58136.659999999974
ACC10000525,CUST0262,Savings,12501.940000000002
ACC10000526,CUST0263,Checking,22756.82
ACC10000527,CUST0263,Savings,10797.660000000003
ACC10000528,CUST0264,Checking,23365.320000000003
ACC10000529,CUST0264,Savings,88620.68999999999
ACC10000530,CUST0265,Checking,55257.439999999995
ACC10000531,CUST0265,Savings,26664.780000000002
ACC10000532,CUST0266,Checking,-14879.789999999999
ACC10000533,CUST0266,Savings,87400.82000000004
ACC10000534,CUST0267,Checking,7897.289999999997
ACC10000535,CUST0267,Savings,49845.32
ACC10000536,CUST0268,Checking,39677.97000000001
ACC10000537,CUST0268,Savings,41206.520000000004
ACC10000538,CUST0269,Checking,4041.49
ACC10000540,CUST0270,Checking,64534.37000000001
ACC10000541,CUST0270,Savings,208.05999999999955
ACC10000542,CUST0271,Checking,86260.88000000003
ACC10000543,CUST0271,Savings,8783.750000000002
ACC10000544,CUST0272,Checking,-10006.76
ACC10000545,CUST0272,Savings,28382.03
ACC10000546,CUST0273,Checking,3572.1800000000003
ACC10000547,CUST0273,Savings,28381.980000000003
ACC10000548,CUST0274,Checking,59976.93999999999
ACC10000549,CUST0274,Savings,63363.84999999996
ACC10000550,CUST0275,Checking,-8487.259999999997
ACC10000551,CUST0275,Savings,89450.84999999998
ACC10000552,CUST0276,Checking,-8354.17
ACC10000553,CUST0276,Savings,47197.530000000006
ACC10000554,CUST0277,Checking,2271.3900000000003
ACC10000556,CUST0278,Checking,45692.45
ACC10000557,CUST0278,Savings,19053.32
ACC10000558,CUST0279,Checking,-24841.320000000003
ACC10000559,CUST0279,Savings,73693.68000000002
ACC10000560,CUST0280,Checking,50236.46
ACC10000561,CUST0280,Savings,29738.65
ACC10000562,CUST0281,Checking,2819.08
ACC10000563,CUST0281,Savings,3638.69
ACC10000564,CUST0282,Checking,6215.340000000002
ACC10000565,CUST0282,Savings,28319.479999999996
ACC10000566,CUST0283,Checking,1849.9699999999998
ACC10000568,CUST0284,Checking,31371.49
ACC10000569,CUST0284,Savings,16991.81000000001
ACC10000570,CUST0285,Checking,-1564.6700000000037
ACC10000571,CUST0285,Savings,93854.68999999999
ACC10000572,CUST0286,Checking,11783.11
ACC10000573,CUST0286,Savings,25647.940000000002
ACC10000574,CUST0287,Checking,56034.94999999999
ACC10000576,CUST0288,Checking,61335.759999999995
ACC10000577,CUST0288,Savings,67838.41999999997
ACC10000578,CUST0289,Checking,66558.0
ACC10000579,CUST0289,Savings,78433.84999999999
ACC10000580,CUST0290,Checking,46402.07
ACC10000581,CUST0290,Savings,80715.19
ACC10000582,CUST0291,Checking,-15094.4
ACC10000583,CUST0291,Savings,6972.81
ACC10000584,CUST0292,Checking,-12686.28
ACC10000585,CUST0292,Savings,31341.879999999997
ACC10000586,CUST0293,Checking,3345.9900000000002
ACC10000588,CUST0294,Checking,1173.54
ACC10000590,CUST0295,Checking,8202.099999999999
ACC10000591,CUST0295,Savings,16355.61000000001
ACC10000592,CUST0296,Checking,47464.82999999999
ACC10000594,CUST0297,Checking,76562.39999999998
ACC10000595,CUST0297,Savings,82527.55
ACC10000596,CUST0298,Checking,62788.51
ACC10000598,CUST0299,Checking,203.55999999999813
ACC10000599,CUST0299,Savings,64003.370000000046
ACC10000600,CUST0300,Checking,3185.53
ACC10000602,CUST0301,Checking,46893.44
ACC10000604,CUST0302,Checking,4076.0900000000015
ACC10000605,CUST0302,Savings,86019.26000000002
ACC10000606,CUST0303,Checking,61682.40999999999
ACC10000607,CUST0303,Savings,21825.09999999999
ACC10000608,CUST0304,Checking,65410.979999999996
ACC10000610,CUST0305,Checking,53460.38
ACC10000611,CUST0305,Savings,46904.65000000001
ACC10000612,CUST0306,Checking,60664.56000000002
ACC10000613,CUST0306,Savings,74311.98999999999
ACC10000614,CUST0307,Checking,64021.27999999999
ACC10000615,CUST0307,Savings,36389.259999999995
ACC10000616,CUST0308,Checking,-18281.579999999998
ACC10000617,CUST0308,Savings,-522.5999999999992
ACC10000618,CUST0309,Checking,58061.70999999999
ACC10000620,CUST0310,Checking,50258.960000000014
ACC10000621,CUST0310,Savings,56924.62000000002
ACC10000622,CUST0311,Checking,1516.2
ACC10000624,CUST0312,Checking,77565.37000000001
ACC10000626,CUST0313,Checking,75735.42000000001
ACC10000627,CUST0313,Savings,3445.15
ACC10000628,CUST0314,Checking,3936.84
ACC10000630,CUST0315,Checking,77044.85
ACC10000632,CUST0316,Checking,43443.840000000004
ACC10000633,CUST0316,Savings,13229.60999999999
ACC10000634,CUST0317,Checking,64780.74999999999
ACC10000636,CUST0318,Checking,51158.520000000004
ACC10000637,CUST0318,Savings,4515.5599999999995
ACC10000638,CUST0319,Checking,65526.23999999998
ACC10000639,CUST0319,Savings,72923.26000000002
ACC10000640,CUST0320,Checking,64900.479999999996
ACC10000641,CUST0320,Savings,22355.919999999995
ACC10000642,CUST0321,Checking,48375.81
ACC10000643,CUST0321,Savings,78381.98999999999
ACC10000644,CUST0322,Checking,67626.37999999999
ACC10000645,CUST0322,Savings,73418.48
ACC10000646,CUST0323,Checking,34916.03
ACC10000647,CUST0323,Savings,10818.900000000001
ACC10000648,CUST0324,Checking,87828.38999999998
ACC10000649,CUST0324,Savings,33209.33
ACC10000650,CUST0325,Checking,1792.4499999999998
ACC10000652,CUST0326,Checking,37920.87000000001
ACC10000653,CUST0326,Savings,24086.049999999996
ACC10000654,CUST0327,Checking,71107.74
ACC10000655,CUST0327,Savings,74523.90999999999
ACC10000656,CUST0328,Checking,-9340.119999999999
ACC10000657,CUST0328,Savings,9301.13
ACC10000658,CUST0329,Checking,69328.25
ACC10000659,CUST0329,Savings,37353.16
ACC10000660,CUST0330,Checking,70017.59
ACC10000661,CUST0330,Savings,37684.340000000004
ACC10000662,CUST0331,Checking,-5099.960000000001
ACC10000663,CUST0331,Savings,76792.71000000002
ACC10000664,CUST0332,Checking,40274.25
ACC10000665,CUST0332,Savings,90280.86
ACC10000666,CUST0333,Checking,59080.47999999998
ACC10000667,CUST0333,Savings,82137.77
ACC10000668,CUST0334,Checking,39316.55000000001
ACC10000669,CUST0334,Savings,70333.43000000002
ACC10000670,CUST0335,Checking,6043.899999999999
ACC10000671,CUST0335,Savings,90522.75999999997
ACC10000672,CUST0336,Checking,3381.58
ACC10000674,CUST0337,Checking,39233.86000000001
