Transaction_ID,Account_Number,Date,Time,Amount,Transaction_Type,Category,Merchant_Name,Account_Balance
TXN017357,ACC10000927,2025-06-01,07:21:45,133.22,Debit,Food,McDonalds,16634.78
TXN017358,ACC10000872,2025-06-01,07:22:47,71.67,Credit,Interest,Merchant Refund,3897.67
TXN017359,ACC10000687,2025-06-01,07:32:02,50.0,Credit,Deposit,Cash Deposit ATM,54069.0
TXN017360,ACC10000002,2025-06-01,07:41:30,146.79,Debit,Food,McDonalds,5871.21
TXN006937,ACC10000838,2025-06-01,08:00:53,6530.0,Credit,Salary,Employer Direct Deposit,8999.0
TXN017361,ACC10001764,2025-06-01,08:01:25,10.39,Debit,Food,Chipotle,16043.61
TXN000061,ACC10000008,2025-06-01,08:03:27,7067.0,Credit,Salary,Employer Direct Deposit,26297.0
TXN015109,ACC10001756,2025-06-01,08:04:20,5037.0,Credit,Salary,Employer Direct Deposit,9381.0
TXN006829,ACC10000822,2025-06-01,08:04:24,5799.0,Credit,Salary,Employer Direct Deposit,14499.0
TXN008293,ACC10000980,2025-06-01,08:05:06,6065.0,Credit,Salary,Employer Direct Deposit,21947.0
TXN007585,ACC10000902,2025-06-01,08:05:28,4590.0,Credit,Salary,Employer Direct Deposit,8156.0
TXN015841,ACC10001832,2025-06-01,08:06:03,5124.0,Credit,Salary,Employer Direct Deposit,15449.0
TXN009685,ACC10001140,2025-06-01,08:09:59,4138.0,Credit,Salary,Employer Direct Deposit,12918.0
TXN011449,ACC10001344,2025-06-01,08:11:00,1875.0,Credit,Salary,Employer Direct Deposit,5529.0
TXN010573,ACC10001242,2025-06-01,08:13:19,3452.0,Credit,Salary,Employer Direct Deposit,13800.0
TXN007417,ACC10000886,2025-06-01,08:14:29,1875.0,Credit,Salary,Employer Direct Deposit,21462.0
TXN000733,ACC10000086,2025-06-01,08:14:56,4507.0,Credit,Salary,Employer Direct Deposit,22803.0
TXN017362,ACC10001551,2025-06-01,08:15:25,239.22,Debit,Bills,Netflix,32007.78
TXN015613,ACC10001810,2025-06-01,08:16:40,4986.0,Credit,Salary,Employer Direct Deposit,11443.0
TXN005857,ACC10000720,2025-06-01,08:16:46,3395.0,Credit,Salary,Employer Direct Deposit,10603.0
TXN017363,ACC10001310,2025-06-01,08:16:53,100.84,Debit,Food,Chipotle,13748.16
TXN012625,ACC10001472,2025-06-01,08:16:59,5426.0,Credit,Salary,Employer Direct Deposit,22989.0
TXN017364,ACC10000269,2025-06-01,08:18:02,356.28,Debit,Shopping,Amazon,97548.72
TXN008641,ACC10001022,2025-06-01,08:18:09,5110.0,Credit,Salary,Employer Direct Deposit,24762.0
TXN007801,ACC10000930,2025-06-01,08:18:58,4512.0,Credit,Salary,Employer Direct Deposit,19993.0
TXN012445,ACC10001454,2025-06-01,08:19:04,4716.0,Credit,Salary,Employer Direct Deposit,15084.0
TXN017365,ACC10000767,2025-06-01,08:19:34,500.0,Credit,Deposit,Merchant Refund,11245.0
TXN001609,ACC10000198,2025-06-01,08:20:08,4696.0,Credit,Salary,Employer Direct Deposit,17669.0
TXN012253,ACC10001434,2025-06-01,08:22:58,4866.0,Credit,Salary,Employer Direct Deposit,22263.0
TXN005233,ACC10000648,2025-06-01,08:23:13,7957.0,Credit,Salary,Employer Direct Deposit,17302.0
TXN012673,ACC10001476,2025-06-01,08:23:16,6223.0,Credit,Salary,Employer Direct Deposit,22352.0
TXN011353,ACC10001332,2025-06-01,08:23:16,4854.0,Credit,Salary,Employer Direct Deposit,22061.0
TXN001273,ACC10000152,2025-06-01,08:23:53,5972.0,Credit,Salary,Employer Direct Deposit,21674.0
TXN011209,ACC10001314,2025-06-01,08:25:46,4709.0,Credit,Salary,Employer Direct Deposit,7497.0
TXN012133,ACC10001418,2025-06-01,08:26:20,1875.0,Credit,Salary,Employer Direct Deposit,17801.0
TXN006469,ACC10000786,2025-06-01,08:27:31,2625.0,Credit,Salary,Employer Direct Deposit,11519.0
TXN000841,ACC10000102,2025-06-01,08:27:46,5194.0,Credit,Salary,Employer Direct Deposit,11207.0
TXN006013,ACC10000738,2025-06-01,08:28:08,4840.0,Credit,Salary,Employer Direct Deposit,10482.0
TXN004669,ACC10000592,2025-06-01,08:29:11,3605.0,Credit,Salary,Employer Direct Deposit,22205.0
TXN017366,ACC10001834,2025-06-01,08:29:28,67.72,Debit,Food,Dominos,13343.28
TXN001093,ACC10000126,2025-06-01,08:32:41,2959.0,Credit,Salary,Employer Direct Deposit,17889.0
TXN008917,ACC10001056,2025-06-01,08:34:03,4763.0,Credit,Salary,Employer Direct Deposit,7718.0
TXN001681,ACC10000206,2025-06-01,08:38:48,4152.0,Credit,Salary,Employer Direct Deposit,22503.0
TXN008425,ACC10000994,2025-06-01,08:40:11,3067.0,Credit,Salary,Employer Direct Deposit,19098.0
TXN009709,ACC10001142,2025-06-01,08:40:48,4716.0,Credit,Salary,Employer Direct Deposit,16011.0
TXN000277,ACC10000038,2025-06-01,08:43:11,3269.0,Credit,Salary,Employer Direct Deposit,21993.0
TXN015637,ACC10001812,2025-06-01,08:43:21,4760.0,Credit,Salary,Employer Direct Deposit,7115.0
TXN009577,ACC10001124,2025-06-01,08:45:52,7930.0,Credit,Salary,Employer Direct Deposit,23024.0
TXN003133,ACC10000408,2025-06-01,08:46:01,6334.0,Credit,Salary,Employer Direct Deposit,12612.0
TXN006493,ACC10000788,2025-06-01,08:46:09,7549.0,Credit,Salary,Employer Direct Deposit,17042.0
TXN006421,ACC10000780,2025-06-01,08:46:58,3786.0,Credit,Salary,Employer Direct Deposit,10682.0
TXN006145,ACC10000754,2025-06-01,08:49:49,6050.0,Credit,Salary,Employer Direct Deposit,18662.0
TXN006193,ACC10000760,2025-06-01,08:50:53,3425.0,Credit,Salary,Employer Direct Deposit,19533.0
TXN010837,ACC10001270,2025-06-01,08:53:27,3106.0,Credit,Salary,Employer Direct Deposit,14405.0
TXN014245,ACC10001656,2025-06-01,08:53:27,3870.0,Credit,Salary,Employer Direct Deposit,19121.0
TXN007189,ACC10000866,2025-06-01,08:56:02,4267.0,Credit,Salary,Employer Direct Deposit,9289.0
TXN008365,ACC10000988,2025-06-01,08:56:13,3342.0,Credit,Salary,Employer Direct Deposit,14301.0
TXN006613,ACC10000800,2025-06-01,08:56:26,6622.0,Credit,Salary,Employer Direct Deposit,23904.0
TXN015409,ACC10001788,2025-06-01,08:56:56,6514.0,Credit,Salary,Employer Direct Deposit,10428.76
TXN014617,ACC10001696,2025-06-01,08:57:34,8524.0,Credit,Salary,Employer Direct Deposit,27736.0
TXN017367,ACC10001226,2025-06-01,08:58:06,139.69,Debit,Food,Starbucks,19487.31
TXN017125,ACC10001978,2025-06-01,08:58:32,4342.0,Credit,Salary,Employer Direct Deposit,24329.0
TXN004585,ACC10000578,2025-06-01,08:59:34,5127.0,Credit,Salary,Employer Direct Deposit,16843.0
TXN014281,ACC10001660,2025-06-01,09:00:08,4247.0,Credit,Salary,Employer Direct Deposit,14874.0
TXN016945,ACC10001956,2025-06-01,09:00:30,1875.0,Credit,Salary,Employer Direct Deposit,15570.0
TXN003289,ACC10000424,2025-06-01,09:00:50,6462.0,Credit,Salary,Employer Direct Deposit,9251.0
TXN010909,ACC10001276,2025-06-01,09:02:34,4802.0,Credit,Salary,Employer Direct Deposit,7200.0
TXN011725,ACC10001376,2025-06-01,09:02:43,4102.0,Credit,Salary,Employer Direct Deposit,11214.0
TXN016261,ACC10001886,2025-06-01,09:03:11,5703.0,Credit,Salary,Employer Direct Deposit,12886.0
TXN007489,ACC10000894,2025-06-01,09:03:29,5260.0,Credit,Salary,Employer Direct Deposit,21991.0
TXN005161,ACC10000642,2025-06-01,09:03:41,4839.0,Credit,Salary,Employer Direct Deposit,8381.0
TXN007309,ACC10000876,2025-06-01,09:08:09,2531.0,Credit,Salary,Employer Direct Deposit,7427.0
TXN003565,ACC10000466,2025-06-01,09:08:31,4759.0,Credit,Salary,Employer Direct Deposit,9012.0
TXN005461,ACC10000674,2025-06-01,09:09:19,3398.0,Credit,Salary,Employer Direct Deposit,17235.0
TXN007369,ACC10000882,2025-06-01,09:10:07,5288.0,Credit,Salary,Employer Direct Deposit,8181.0
TXN009517,ACC10001118,2025-06-01,09:11:54,5304.0,Credit,Salary,Employer Direct Deposit,21446.0
TXN011857,ACC10001390,2025-06-01,09:12:22,5614.0,Credit,Salary,Employer Direct Deposit,23763.0
TXN000457,ACC10000054,2025-06-01,09:12:34,2889.0,Credit,Salary,Employer Direct Deposit,17010.0
TXN013405,ACC10001566,2025-06-01,09:12:43,5282.0,Credit,Salary,Employer Direct Deposit,24594.0
TXN004861,ACC10000612,2025-06-01,09:13:19,4871.0,Credit,Salary,Employer Direct Deposit,23884.0
TXN017005,ACC10001962,2025-06-01,09:13:54,5915.0,Credit,Salary,Employer Direct Deposit,9763.0
TXN006037,ACC10000742,2025-06-01,09:16:26,4726.0,Credit,Salary,Employer Direct Deposit,19794.0
TXN016777,ACC10001938,2025-06-01,09:16:42,4625.0,Credit,Salary,Employer Direct Deposit,18943.0
TXN004753,ACC10000602,2025-06-01,09:21:42,3392.0,Credit,Salary,Employer Direct Deposit,13780.0
TXN015481,ACC10001794,2025-06-01,09:22:23,4426.0,Credit,Salary,Employer Direct Deposit,15251.0
TXN009313,ACC10001100,2025-06-01,09:28:36,3744.0,Credit,Salary,Employer Direct Deposit,12609.0
TXN011161,ACC10001308,2025-06-01,09:29:11,2959.0,Credit,Salary,Employer Direct Deposit,11782.0
TXN014941,ACC10001742,2025-06-01,09:30:24,4411.0,Credit,Salary,Employer Direct Deposit,15529.8
TXN001549,ACC10000188,2025-06-01,09:30:48,4176.0,Credit,Salary,Employer Direct Deposit,16136.0
TXN013465,ACC10001572,2025-06-01,09:31:53,6376.0,Credit,Salary,Employer Direct Deposit,14015.0
TXN015205,ACC10001766,2025-06-01,09:32:35,3923.0,Credit,Salary,Employer Direct Deposit,23280.0
TXN014677,ACC10001702,2025-06-01,09:34:24,3714.0,Credit,Salary,Employer Direct Deposit,15320.0
TXN017368,ACC10001202,2025-06-01,09:34:57,100.6,Debit,Bills,Verizon,2568.4
TXN017369,ACC10001817,2025-06-01,09:35:10,11.65,Debit,Food,Whole Foods,69124.35
TXN010429,ACC10001224,2025-06-01,09:35:15,4601.0,Credit,Salary,Employer Direct Deposit,10391.0
TXN004405,ACC10000556,2025-06-01,09:35:49,3750.0,Credit,Salary,Employer Direct Deposit,9389.0
TXN001753,ACC10000218,2025-06-01,09:38:00,5090.0,Credit,Salary,Employer Direct Deposit,19152.0
TXN013273,ACC10001548,2025-06-01,09:39:50,6207.0,Credit,Salary,Employer Direct Deposit,21292.0
TXN016801,ACC10001940,2025-06-01,09:41:48,2452.0,Credit,Salary,Employer Direct Deposit,13693.0
TXN001777,ACC10000220,2025-06-01,09:43:29,4571.0,Credit,Salary,Employer Direct Deposit,21215.0
TXN008665,ACC10001024,2025-06-01,09:46:18,4609.0,Credit,Salary,Employer Direct Deposit,21475.0
TXN008965,ACC10001060,2025-06-01,09:46:42,3274.0,Credit,Salary,Employer Direct Deposit,18637.0
TXN017370,ACC10001056,2025-06-01,09:47:21,37.77,Debit,Travel,Chevron,7680.23
TXN003697,ACC10000480,2025-06-01,09:47:33,6019.0,Credit,Salary,Employer Direct Deposit,8930.0
TXN010201,ACC10001196,2025-06-01,09:48:19,3158.0,Credit,Salary,Employer Direct Deposit,15506.0
TXN010633,ACC10001248,2025-06-01,09:51:18,6790.0,Credit,Salary,Employer Direct Deposit,24166.0
TXN016645,ACC10001924,2025-06-01,09:52:40,6764.0,Credit,Salary,Employer Direct Deposit,11968.0
TXN012469,ACC10001456,2025-06-01,09:52:49,5231.0,Credit,Salary,Employer Direct Deposit,13525.0
TXN017371,ACC10001119,2025-06-01,09:52:51,11.67,Debit,Food,McDonalds,65868.33
TXN007561,ACC10000900,2025-06-01,09:53:11,3032.0,Credit,Salary,Employer Direct Deposit,22821.0
TXN015685,ACC10001816,2025-06-01,09:56:52,5854.0,Credit,Salary,Employer Direct Deposit,22404.0
TXN012529,ACC10001462,2025-06-01,09:57:10,4994.0,Credit,Salary,Employer Direct Deposit,23595.0
TXN000493,ACC10000058,2025-06-01,09:57:12,3749.0,Credit,Salary,Employer Direct Deposit,13725.0
TXN001909,ACC10000240,2025-06-01,09:57:29,5862.0,Credit,Salary,Employer Direct Deposit,23515.0
TXN017372,ACC10001191,2025-06-01,10:00:51,1087.27,Debit,Shopping,Macy's,96598.73
TXN003397,ACC10000446,2025-06-01,10:01:39,5760.0,Credit,Salary,Employer Direct Deposit,12253.0
TXN002533,ACC10000324,2025-06-01,10:02:41,5917.0,Credit,Salary,Employer Direct Deposit,19977.0
TXN013789,ACC10001608,2025-06-01,10:02:47,3965.0,Credit,Salary,Employer Direct Deposit,20145.0
TXN000229,ACC10000034,2025-06-01,10:03:20,3105.0,Credit,Salary,Employer Direct Deposit,20774.0
TXN011797,ACC10001384,2025-06-01,10:08:01,6499.0,Credit,Salary,Employer Direct Deposit,13988.0
TXN015349,ACC10001780,2025-06-01,10:09:08,6420.0,Credit,Salary,Employer Direct Deposit,20274.0
TXN002413,ACC10000310,2025-06-01,10:09:46,5145.0,Credit,Salary,Employer Direct Deposit,8240.0
TXN010813,ACC10001268,2025-06-01,10:09:54,4020.0,Credit,Salary,Employer Direct Deposit,18889.0
TXN006241,ACC10000764,2025-06-01,10:10:11,3751.0,Credit,Salary,Employer Direct Deposit,12328.0
TXN001393,ACC10000170,2025-06-01,10:13:18,3424.0,Credit,Salary,Employer Direct Deposit,11225.0
TXN010513,ACC10001236,2025-06-01,10:16:36,5822.0,Credit,Salary,Employer Direct Deposit,17908.0
TXN002953,ACC10000380,2025-06-01,10:18:10,2321.0,Credit,Salary,Employer Direct Deposit,9893.0
TXN014221,ACC10001654,2025-06-01,10:18:37,7156.0,Credit,Salary,Employer Direct Deposit,17962.0
TXN017373,ACC10000706,2025-06-01,10:18:37,302.4,Debit,Bills,Geico,9178.6
TXN017374,ACC10000753,2025-06-01,10:19:40,16.14,Debit,Travel,Amtrack,47009.86
TXN001417,ACC10000174,2025-06-01,10:19:46,6118.0,Credit,Salary,Employer Direct Deposit,14244.0
TXN014653,ACC10001700,2025-06-01,10:19:53,3858.0,Credit,Salary,Employer Direct Deposit,9551.0
TXN008941,ACC10001058,2025-06-01,10:20:16,5093.0,Credit,Salary,Employer Direct Deposit,19524.0
TXN015385,ACC10001784,2025-06-01,10:20:16,5480.0,Credit,Salary,Employer Direct Deposit,20534.0
TXN007729,ACC10000924,2025-06-01,10:20:35,4743.0,Credit,Salary,Employer Direct Deposit,21809.0
TXN012229,ACC10001432,2025-06-01,10:21:09,6411.0,Credit,Salary,Employer Direct Deposit,13609.0
TXN012733,ACC10001486,2025-06-01,10:21:53,3711.0,Credit,Salary,Employer Direct Deposit,17210.0
TXN002065,ACC10000262,2025-06-01,10:22:30,2265.0,Credit,Salary,Employer Direct Deposit,20445.0
TXN017375,ACC10001390,2025-06-01,10:22:41,103.65,Debit,Food,Dominos,23659.35
TXN010453,ACC10001226,2025-06-01,10:24:52,5125.0,Credit,Salary,Employer Direct Deposit,24612.31
TXN011113,ACC10001304,2025-06-01,10:27:12,6448.0,Credit,Salary,Employer Direct Deposit,18233.0
TXN003973,ACC10000508,2025-06-01,10:27:50,6301.0,Credit,Salary,Employer Direct Deposit,17737.0
TXN000433,ACC10000052,2025-06-01,10:28:12,4861.0,Credit,Salary,Employer Direct Deposit,21396.0
TXN009361,ACC10001104,2025-06-01,10:29:01,4444.0,Credit,Salary,Employer Direct Deposit,23677.0
TXN015037,ACC10001750,2025-06-01,10:29:19,4636.0,Credit,Salary,Employer Direct Deposit,8734.0
TXN011065,ACC10001296,2025-06-01,10:29:45,4603.0,Credit,Salary,Employer Direct Deposit,11080.0
TXN010705,ACC10001256,2025-06-01,10:30:15,4491.0,Credit,Salary,Employer Direct Deposit,21978.0
TXN002593,ACC10000334,2025-06-01,10:31:28,5972.0,Credit,Salary,Employer Direct Deposit,9624.0
TXN017376,ACC10000657,2025-06-01,10:32:52,31.0,Debit,Travel,Delta Airlines,15131.0
TXN010597,ACC10001244,2025-06-01,10:33:10,5424.0,Credit,Salary,Employer Direct Deposit,22704.0
TXN017377,ACC10001118,2025-06-01,10:33:29,129.64,Debit,Shopping,Macy's,21316.36
TXN005989,ACC10000736,2025-06-01,10:37:18,4707.0,Credit,Salary,Employer Direct Deposit,7000.0
TXN002569,ACC10000332,2025-06-01,10:37:37,5332.0,Credit,Salary,Employer Direct Deposit,23920.0
TXN017245,ACC10001994,2025-06-01,10:39:28,7496.0,Credit,Salary,Employer Direct Deposit,12225.0
TXN009253,ACC10001094,2025-06-01,10:41:23,5589.0,Credit,Salary,Employer Direct Deposit,23987.0
TXN003205,ACC10000414,2025-06-01,10:44:36,5492.0,Credit,Salary,Employer Direct Deposit,8710.0
TXN008185,ACC10000970,2025-06-01,10:45:28,3506.0,Credit,Salary,Employer Direct Deposit,16786.0
TXN014965,ACC10001744,2025-06-01,10:46:16,3440.0,Credit,Salary,Employer Direct Deposit,20323.0
TXN008761,ACC10001034,2025-06-01,10:46:35,5470.0,Credit,Salary,Employer Direct Deposit,10846.0
TXN003157,ACC10000410,2025-06-01,10:47:07,2535.0,Credit,Salary,Employer Direct Deposit,15276.0
TXN014005,ACC10001636,2025-06-01,10:49:02,6078.0,Credit,Salary,Employer Direct Deposit,20412.0
TXN000913,ACC10000108,2025-06-01,10:52:09,5643.0,Credit,Salary,Employer Direct Deposit,20757.0
TXN002221,ACC10000286,2025-06-01,10:52:57,2176.0,Credit,Salary,Employer Direct Deposit,20651.0
TXN003829,ACC10000494,2025-06-01,10:54:24,3945.0,Credit,Salary,Employer Direct Deposit,20801.0
TXN006697,ACC10000810,2025-06-01,10:57:21,3984.0,Credit,Salary,Employer Direct Deposit,8434.0
TXN002329,ACC10000296,2025-06-01,10:57:29,2624.0,Credit,Salary,Employer Direct Deposit,5714.0
TXN008485,ACC10001002,2025-06-01,10:58:58,6135.0,Credit,Salary,Employer Direct Deposit,11427.0
TXN009913,ACC10001168,2025-06-01,11:00:59,8235.0,Credit,Salary,Employer Direct Deposit,17894.0
TXN010081,ACC10001184,2025-06-01,11:01:11,3941.0,Credit,Salary,Employer Direct Deposit,9933.0
TXN014797,ACC10001718,2025-06-01,11:01:43,3825.0,Credit,Salary,Employer Direct Deposit,11371.0
TXN003061,ACC10000400,2025-06-01,11:04:31,2902.0,Credit,Salary,Employer Direct Deposit,13938.0
TXN008209,ACC10000972,2025-06-01,11:04:51,2465.0,Credit,Salary,Employer Direct Deposit,15061.0
TXN017378,ACC10000569,2025-06-01,11:05:06,505.24,Debit,Travel,Shell,21449.76
TXN004093,ACC10000520,2025-06-01,11:07:53,5898.0,Credit,Salary,Employer Direct Deposit,13078.0
TXN012781,ACC10001492,2025-06-01,11:08:48,3554.0,Credit,Salary,Employer Direct Deposit,16593.0
TXN005785,ACC10000712,2025-06-01,11:08:51,3121.0,Credit,Salary,Employer Direct Deposit,18801.0
TXN012277,ACC10001436,2025-06-01,11:10:15,4922.0,Credit,Salary,Employer Direct Deposit,15089.0
TXN007261,ACC10000872,2025-06-01,11:11:04,4803.0,Credit,Salary,Employer Direct Deposit,8700.67
TXN004717,ACC10000596,2025-06-01,11:12:08,5168.0,Credit,Salary,Employer Direct Deposit,12625.0
TXN006169,ACC10000756,2025-06-01,11:13:10,4974.0,Credit,Salary,Employer Direct Deposit,11441.0
TXN010177,ACC10001194,2025-06-01,11:13:39,4266.0,Credit,Salary,Employer Direct Deposit,12521.0
TXN002617,ACC10000336,2025-06-01,11:14:03,7651.0,Credit,Salary,Employer Direct Deposit,23634.0
TXN010405,ACC10001222,2025-06-01,11:14:50,5710.0,Credit,Salary,Employer Direct Deposit,11079.0
TXN016573,ACC10001918,2025-06-01,11:15:29,5578.0,Credit,Salary,Employer Direct Deposit,15751.0
TXN009757,ACC10001146,2025-06-01,11:15:59,5198.0,Credit,Salary,Employer Direct Deposit,18034.0
TXN005341,ACC10000660,2025-06-01,11:19:52,5669.0,Credit,Salary,Employer Direct Deposit,16291.0
TXN010369,ACC10001218,2025-06-01,11:20:24,1908.0,Credit,Salary,Employer Direct Deposit,12953.0
TXN007777,ACC10000928,2025-06-01,11:23:15,5022.0,Credit,Salary,Employer Direct Deposit,10219.0
TXN008701,ACC10001028,2025-06-01,11:23:36,3269.0,Credit,Salary,Employer Direct Deposit,18169.0
TXN002749,ACC10000354,2025-06-01,11:24:28,4708.0,Credit,Salary,Employer Direct Deposit,22377.0
TXN005089,ACC10000636,2025-06-01,11:24:49,4203.0,Credit,Salary,Employer Direct Deposit,20432.0
TXN004813,ACC10000608,2025-06-01,11:26:56,5641.0,Credit,Salary,Employer Direct Deposit,12273.0
TXN011137,ACC10001306,2025-06-01,11:27:55,4267.0,Credit,Salary,Employer Direct Deposit,14356.0
TXN009937,ACC10001170,2025-06-01,11:29:36,4972.0,Credit,Salary,Employer Direct Deposit,19737.0
TXN002773,ACC10000356,2025-06-01,11:29:47,6959.0,Credit,Salary,Employer Direct Deposit,18510.0
TXN017379,ACC10000344,2025-06-01,11:30:10,11.69,Debit,Travel,Amtrack,15800.31
TXN017380,ACC10000927,2025-06-01,11:30:56,425.34,Debit,Shopping,Macy's,16209.44
TXN015565,ACC10001804,2025-06-01,11:31:15,4073.0,Credit,Salary,Employer Direct Deposit,10814.0
TXN013381,ACC10001564,2025-06-01,11:31:27,2601.0,Credit,Salary,Employer Direct Deposit,13107.81
TXN006913,ACC10000834,2025-06-01,11:31:34,7111.0,Credit,Salary,Employer Direct Deposit,13596.0
TXN012097,ACC10001414,2025-06-01,11:33:03,2687.0,Credit,Salary,Employer Direct Deposit,12911.0
TXN015457,ACC10001792,2025-06-01,11:34:30,5701.0,Credit,Salary,Employer Direct Deposit,21384.0
TXN002845,ACC10000364,2025-06-01,11:34:46,3348.0,Credit,Salary,Employer Direct Deposit,10935.0
TXN001957,ACC10000244,2025-06-01,11:35:24,3267.0,Credit,Salary,Employer Direct Deposit,7539.0
TXN017381,ACC10000445,2025-06-01,11:35:43,24.67,Debit,Travel,Uber,59498.33
TXN004045,ACC10000514,2025-06-01,11:36:18,6667.0,Credit,Salary,Employer Direct Deposit,18126.0
TXN010657,ACC10001250,2025-06-01,11:39:44,7177.0,Credit,Salary,Employer Direct Deposit,11031.0
TXN007849,ACC10000938,2025-06-01,11:40:21,3859.0,Credit,Salary,Employer Direct Deposit,21188.0
TXN013861,ACC10001620,2025-06-01,11:41:12,3290.0,Credit,Salary,Employer Direct Deposit,11079.0
TXN005257,ACC10000652,2025-06-01,11:43:24,2790.0,Credit,Salary,Employer Direct Deposit,17126.0
TXN001045,ACC10000122,2025-06-01,11:43:29,3939.0,Credit,Salary,Employer Direct Deposit,7620.0
TXN015769,ACC10001824,2025-06-01,11:44:01,5030.0,Credit,Salary,Employer Direct Deposit,18758.0
TXN010117,ACC10001188,2025-06-01,11:45:39,5209.0,Credit,Salary,Employer Direct Deposit,12357.0
TXN017382,ACC10001781,2025-06-01,11:46:09,27.59,Debit,Travel,Airbnb,18592.41
TXN000361,ACC10000046,2025-06-01,11:48:06,4793.0,Credit,Salary,Employer Direct Deposit,7945.0
TXN000997,ACC10000118,2025-06-01,11:50:05,5205.0,Credit,Salary,Employer Direct Deposit,12675.0
TXN003949,ACC10000506,2025-06-01,11:50:10,8003.0,Credit,Salary,Employer Direct Deposit,27410.0
TXN004969,ACC10000624,2025-06-01,11:50:43,6404.0,Credit,Salary,Employer Direct Deposit,20171.0
TXN000685,ACC10000080,2025-06-01,11:52:17,4995.0,Credit,Salary,Employer Direct Deposit,18005.0
TXN016081,ACC10001860,2025-06-01,11:53:13,4585.0,Credit,Salary,Employer Direct Deposit,22023.0
TXN001825,ACC10000224,2025-06-01,11:54:04,4646.0,Credit,Salary,Employer Direct Deposit,15978.0
TXN012505,ACC10001460,2025-06-01,11:54:47,3471.0,Credit,Salary,Employer Direct Deposit,11616.0
TXN015913,ACC10001838,2025-06-01,11:55:16,3990.0,Credit,Salary,Employer Direct Deposit,13586.0
TXN017383,ACC10000617,2025-06-01,11:55:28,613.91,Debit,Shopping,Macy's,5512.09
TXN000973,ACC10000116,2025-06-01,11:55:44,4204.0,Credit,Salary,Employer Direct Deposit,18396.0
TXN005317,ACC10000658,2025-06-01,11:56:07,5663.0,Credit,Salary,Employer Direct Deposit,22136.0
TXN016969,ACC10001958,2025-06-01,11:56:11,2213.0,Credit,Salary,Employer Direct Deposit,6880.0
TXN017384,ACC10001191,2025-06-01,11:56:56,144.75,Debit,Bills,Spotify,96453.98
TXN013693,ACC10001600,2025-06-01,11:57:49,4734.0,Credit,Salary,Employer Direct Deposit,8182.0
TXN017385,ACC10000535,2025-06-01,12:37:55,16.27,Debit,Travel,Expedia,52044.73
